id,title,description,date_end,city,text_for_rag
78037061,Séance de recherche ouverte : “Pratiques de décentrement” par la danse,"**Pascale Houbin** est danseuse, chorégraphe et professeure de yoga. En 1987, elle crée la compagnie ""Non de Nom"". Le décentrement, sans doute inhérent au geste chorégraphié, n'a cessé de nourrir sa pratique de la danse et de guider la mise en oeuvre de ses créations.

Deux moments seront particulièrement évoqués dans le cadre de cette séance :

\- Des expériences de création ouvrant une place à la présence d'interprètes sourds et mobilisant la langue des signes, dans les pièces *Nota Bene* (trio, 1987) et *Chants* (quatuor, 1989).

\- La mise en oeuvre d'une série de portraits gestuels dans le monde du travail ; intitulée « Aujourd'hui à deux mains », cette série de portraits vidéos donnent à voir des artisans réalisant des gestes suspendus, effectués « à blanc », sans outils ni matières.

**Je découvre le** [**Pôle de recherche**](https://www.collegedesbernardins.fr/pole-de-recherche/presentation) **du Collège des Bernardins.**

Le séminaire de recherche [**""Pratiques de décentrement. Expressions plastiques, dimension existentielle et portée politique""**](https://www.collegedesbernardins.fr/seminaires/pratiques-de-decentrement-expressions-plastiques-dimension-existentielle-et-portee-politique) explore comment le décentrement transforme notre manière d'exister, de créer et de percevoir le monde à travers les arts, la philosophie et la tradition mystique. Il analyse comment les pratiques artistiques déplacent notre centre de gravité intérieur, ouvrant à de nouvelles formes d'attention, de création et de relation au réel. Enfin, il interroge la portée politique de ce geste de décentrement, envisagé comme une réponse possible aux dynamiques de pouvoir contemporaines.",2026-02-04T20:00:00+01:00,Paris,"Titre: Séance de recherche ouverte : “Pratiques de décentrement” par la danse. Description: **Pascale Houbin** est danseuse, chorégraphe et professeure de yoga. En 1987, elle crée la compagnie ""Non de Nom"". Le décentrement, sans doute inhérent au geste chorégraphié, n'a cessé de nourrir sa pratique de la danse et de guider la mise en oeuvre de ses créations.

Deux moments seront particulièrement évoqués dans le cadre de cette séance :

\- Des expériences de création ouvrant une place à la présence d'interprètes sourds et mobilisant la langue des signes, dans les pièces *Nota Bene* (trio, 1987) et *Chants* (quatuor, 1989).

\- La mise en oeuvre d'une série de portraits gestuels dans le monde du travail ; intitulée « Aujourd'hui à deux mains », cette série de portraits vidéos donnent à voir des artisans réalisant des gestes suspendus, effectués « à blanc », sans outils ni matières.

**Je découvre le** [**Pôle de recherche**](https://www.collegedesbernardins.fr/pole-de-recherche/presentation) **du Collège des Bernardins.**

Le séminaire de recherche [**""Pratiques de décentrement. Expressions plastiques, dimension existentielle et portée politique""**](https://www.collegedesbernardins.fr/seminaires/pratiques-de-decentrement-expressions-plastiques-dimension-existentielle-et-portee-politique) explore comment le décentrement transforme notre manière d'exister, de créer et de percevoir le monde à travers les arts, la philosophie et la tradition mystique. Il analyse comment les pratiques artistiques déplacent notre centre de gravité intérieur, ouvrant à de nouvelles formes d'attention, de création et de relation au réel. Enfin, il interroge la portée politique de ce geste de décentrement, envisagé comme une réponse possible aux dynamiques de pouvoir contemporaines.. Ville: Paris"
58184234,Neuvaine à Notre Dame de Lourdes,"Du 3 au 11 février, tous les jours sauf dimanche chapelet à 18h15 et messe à 19h.",2026-02-03T19:30:00+01:00,Paris,"Titre: Neuvaine à Notre Dame de Lourdes. Description: Du 3 au 11 février, tous les jours sauf dimanche chapelet à 18h15 et messe à 19h.. Ville: Paris"
8441316,DIEU AGIT,"VEILLÉE DE PRIÈRES 4 FÉVRIER  
🔥 DIEU AGIT cinquième édition !  
Venez vivre une soirée de louange, d’adoration, de confession, de prière pour la guérison 🥳  
Prenons ce temps d’adoration du Seigneur, de l'intimité avec le Seigneur, prenons le temps de l’intériorité, mettons-nous à genoux devant Dieu.  
C’est à 19h ce mercredi 4 février à la crypte (entrée à gauche de l’église)  
Invite un proche !  
Entrée ouverte à tous !",2026-02-04T20:30:00+01:00,Paris,"Titre: DIEU AGIT. Description: VEILLÉE DE PRIÈRES 4 FÉVRIER  
🔥 DIEU AGIT cinquième édition !  
Venez vivre une soirée de louange, d’adoration, de confession, de prière pour la guérison 🥳  
Prenons ce temps d’adoration du Seigneur, de l'intimité avec le Seigneur, prenons le temps de l’intériorité, mettons-nous à genoux devant Dieu.  
C’est à 19h ce mercredi 4 février à la crypte (entrée à gauche de l’église)  
Invite un proche !  
Entrée ouverte à tous !. Ville: Paris"
62389495,Découvrir le Christ à l'âge adulte,"Depuis 2015, c'est-à-dire **en dix ans, le nombre de catéchumènes en France a plus que doublé**, passant de 3 900 à 10 384. Mais on ne peut se contenter d'une approche statistique : **il y a une réalité spirituelle qui irrigue la vie de l'Église et à laquelle il convient d'être attentifs**. Ces découvertes du Christ à l'âge adulte sont des expériences individuelles qui s'épanouissent dans la communion d'une vie renouvelée par le sacrement du baptême, et avec lui ceux de la confirmation et de l'eucharistie.

- **Mme Isabelle de LA GARANDERIE**, consacrée, théologienne aux Facultés Loyola à Paris, en mission auprès des néophytes du diocèse de Nanterre
- **P. Philippe SAUDRAIX**, prêtre diocésain baptisé à l'âge adulte
- **P. Eric MORIN**, Directeur de l'Ecole cathédrale
- Conclusion par **Mgr Laurent ULRICH**, archevêque de Paris.",2026-02-04T20:30:00+01:00,Paris,"Titre: Découvrir le Christ à l'âge adulte. Description: Depuis 2015, c'est-à-dire **en dix ans, le nombre de catéchumènes en France a plus que doublé**, passant de 3 900 à 10 384. Mais on ne peut se contenter d'une approche statistique : **il y a une réalité spirituelle qui irrigue la vie de l'Église et à laquelle il convient d'être attentifs**. Ces découvertes du Christ à l'âge adulte sont des expériences individuelles qui s'épanouissent dans la communion d'une vie renouvelée par le sacrement du baptême, et avec lui ceux de la confirmation et de l'eucharistie.

- **Mme Isabelle de LA GARANDERIE**, consacrée, théologienne aux Facultés Loyola à Paris, en mission auprès des néophytes du diocèse de Nanterre
- **P. Philippe SAUDRAIX**, prêtre diocésain baptisé à l'âge adulte
- **P. Eric MORIN**, Directeur de l'Ecole cathédrale
- Conclusion par **Mgr Laurent ULRICH**, archevêque de Paris.. Ville: Paris"
58313210,Les quatre saisons de Vivaldi,"Orchestre Les Violons de France

Informations

https://lamadeleineparis.fr/event/les-quatre-saisons-de-vivaldi/",2026-02-04T21:00:00+01:00,Paris,"Titre: Les quatre saisons de Vivaldi. Description: Orchestre Les Violons de France

Informations

https://lamadeleineparis.fr/event/les-quatre-saisons-de-vivaldi/. Ville: Paris"
88513997,Concert de la Chandeleur,"Pour la cinquième édition du concert de la Chandeleur au **Collège des Bernardins**, la violoniste [**Marina Chiche**](https://www.marina-chiche.com/) nous invite à découvrir ou redécouvrir l'univers de **Jean Sébastien Bach**. Dans l'immersion des sonates et partitas pour violon seul de **Bach**, Marina partagera aussi son approche historique et musicologique de ce sommet de la littérature pour violon. Après le concert, un échange est prévu avec la musicienne autour d'une dégustation de crêpes.

Révélée au grand public par les **Victoires de la musique classique** et par ses productions discographiques, la violoniste [**Marina Chiche**](https://www.marina-chiche.com/) poursuit une carrière internationale qui l'amène à se produire comme soliste et en musique de chambre dans les salles de concert les plus prestigieuses : Philharmonie de Berlin, Théâtre des Champs Elysées ou National Concert Hall de Beijing. Artiste engagée dans son époque, elle oeuvre, avec son livre **Musiciennes de légende** (éditions First/Radio France) et sa **chronique sur** **France Inter** dans « C'est encore Nous ! », à **rendre la musique classique accessible au plus grand nombre**.",2026-02-04T22:00:00+01:00,Paris,"Titre: Concert de la Chandeleur. Description: Pour la cinquième édition du concert de la Chandeleur au **Collège des Bernardins**, la violoniste [**Marina Chiche**](https://www.marina-chiche.com/) nous invite à découvrir ou redécouvrir l'univers de **Jean Sébastien Bach**. Dans l'immersion des sonates et partitas pour violon seul de **Bach**, Marina partagera aussi son approche historique et musicologique de ce sommet de la littérature pour violon. Après le concert, un échange est prévu avec la musicienne autour d'une dégustation de crêpes.

Révélée au grand public par les **Victoires de la musique classique** et par ses productions discographiques, la violoniste [**Marina Chiche**](https://www.marina-chiche.com/) poursuit une carrière internationale qui l'amène à se produire comme soliste et en musique de chambre dans les salles de concert les plus prestigieuses : Philharmonie de Berlin, Théâtre des Champs Elysées ou National Concert Hall de Beijing. Artiste engagée dans son époque, elle oeuvre, avec son livre **Musiciennes de légende** (éditions First/Radio France) et sa **chronique sur** **France Inter** dans « C'est encore Nous ! », à **rendre la musique classique accessible au plus grand nombre**.. Ville: Paris"
89597729,Spectacle “Luminiscence”,"**Infos pratiques**  
Durée: Spectacle assis de 45 minutes, précédé d’une première partie de 20 minutes environ - ouverture des portes le 23 janvier.  
Âge requis : Activité accessible à tous ! Entrée gratuite pour les enfants de moins de 2 ans assis sur les genoux d’un adulte. Au-delà, un billet est nécessaire.  
Billets: Il est recommandé de réserver en ligne pour garantir l’entrée. Des billets peuvent être disponibles sur place le jour de l’événement, selon les disponibilités.  
Adresse : Église Saint-Eustache, 146 rue Rambuteau, 75001 Paris - Entrée côté rue du jour",2026-01-23T21:30:00+01:00,Paris,"Titre: Spectacle “Luminiscence”. Description: **Infos pratiques**  
Durée: Spectacle assis de 45 minutes, précédé d’une première partie de 20 minutes environ - ouverture des portes le 23 janvier.  
Âge requis : Activité accessible à tous ! Entrée gratuite pour les enfants de moins de 2 ans assis sur les genoux d’un adulte. Au-delà, un billet est nécessaire.  
Billets: Il est recommandé de réserver en ligne pour garantir l’entrée. Des billets peuvent être disponibles sur place le jour de l’événement, selon les disponibilités.  
Adresse : Église Saint-Eustache, 146 rue Rambuteau, 75001 Paris - Entrée côté rue du jour. Ville: Paris"
52162714,Croq’Philo – Femme et philosophe au Moyen-Âge : Christine de Pizan,"Christine de Pizan (1365-1430) est la première femme à vivre de sa plume au Moyen-Âge. Ses prises de position pour la défense des femmes en font une figure politique et philosophique marquante de la fin du 14e siècle. A travers sa poésie et ses écrits, nous essaierons de mettre en valeur son talent littéraire et l’originalité de sa pensée philosophique et théologique, tout en marquant combien elle s’inscrit dans la lecture attentive des grandes autorités médiévales comme Dante et Boèce. Héritière d’une tradition, elle ouvre de nouveaux horizons qui peuvent encore nous inspirer aujourd’hui.  
Voir toutes les dates du cycle : [https://www.loyolaparis.fr/?s=pizan&post\_type\_first=tribe\_events&type=tribe\_events](https://www.loyolaparis.fr/?s=pizan&post_type_first=tribe_events&type=tribe_events)",2026-02-05T13:30:00+01:00,Paris,"Titre: Croq’Philo – Femme et philosophe au Moyen-Âge : Christine de Pizan. Description: Christine de Pizan (1365-1430) est la première femme à vivre de sa plume au Moyen-Âge. Ses prises de position pour la défense des femmes en font une figure politique et philosophique marquante de la fin du 14e siècle. A travers sa poésie et ses écrits, nous essaierons de mettre en valeur son talent littéraire et l’originalité de sa pensée philosophique et théologique, tout en marquant combien elle s’inscrit dans la lecture attentive des grandes autorités médiévales comme Dante et Boèce. Héritière d’une tradition, elle ouvre de nouveaux horizons qui peuvent encore nous inspirer aujourd’hui.  
Voir toutes les dates du cycle : [https://www.loyolaparis.fr/?s=pizan&post\_type\_first=tribe\_events&type=tribe\_events](https://www.loyolaparis.fr/?s=pizan&post_type_first=tribe_events&type=tribe_events). Ville: Paris"
11591535,Adoration eucharistique,"Chaque jeudi, exposition du Saint-Sacrement dans la chapelle de la Sainte-Famille de 17h à 18h30 pour une adoration silencieuse libre.",2025-10-16T18:30:00+02:00,Paris,"Titre: Adoration eucharistique. Description: Chaque jeudi, exposition du Saint-Sacrement dans la chapelle de la Sainte-Famille de 17h à 18h30 pour une adoration silencieuse libre.. Ville: Paris"
36600494,Paris String Orchestra,"Paris String Orchestra

Informations

https://lamadeleineparis.fr/event/paris-string-orchestra/",2026-02-05T21:00:00+01:00,Paris,"Titre: Paris String Orchestra. Description: Paris String Orchestra

Informations

https://lamadeleineparis.fr/event/paris-string-orchestra/. Ville: Paris"
